t,x,raw,speed
0,0,0.0,1.3322644318766226
0,1,0.0,1.5141508339351735
0,2,0.0,1.7257851842563778
0,3,0.0,1.930294323713254
0,4,0.0,2.159499810540752
0,5,0.0,2.3151938857648133
0,6,0.0,2.467378809516097
0,7,0.0,2.583139943705412
0,8,0.0,2.69714213144559
0,9,0.0,2.8096169628372194
0,10,0.0,2.920546960394562
0,11,0.0,3.057845956173737
0,12,0.0,3.192679696175707
0,13,0.0,3.326046347788712
0,14,0.0,3.481648214472886
0,15,0.0,3.636874563445341
0,16,0.0,3.7910011957190473
0,17,0.0,3.9185503147334835
0,18,0.0,4.04610398589408
0,19,0.0,4.173411781895313
0,20,0.0,4.300576815895262
0,21,0.0,4.405971810999041
0,22,0.0,4.5367669962203445
0,23,0.0,4.661829899702578
0,24,0.0,4.76877629027594
0,25,0.0,4.895970401139185
0,26,0.0,5.045135710574585
0,27,0.0,5.173704730777166
0,28,0.0,5.303329649154794
0,29,0.0,5.441969515372579
0,30,0.0,5.572105179943629
0,31,0.0,5.696273120541956
0,32,0.0,5.876289885816028
0,33,0.0,6.030057047428341
0,34,0.0,6.1859669896847365
0,35,0.0,6.3438958377998365
0,36,0.0,6.4864282928131995
0,37,0.0,6.647957142193822
0,38,0.0,6.8280042570346895
0,39,0.0,7.012111987922389
0,40,0.0,7.214575234133343
0,41,0.0,7.415925767367575
0,42,0.0,7.605218297034953
0,43,0.0,7.796812052697279
0,44,0.0,7.98979006347278
0,45,0.0,8.213605072442961
0,46,0.0,8.391869688978261
0,47,0.0,8.569845717065451
0,48,0.0,8.762100040074074
0,49,0.0,8.970808565583509
0,50,0.0,9.180731818830138
0,51,0.0,9.460911176328327
0,52,0.0,9.739771407865161
0,53,0.0,10.000448250470155
0,54,0.0,10.258600278834846
0,55,0.0,10.515099416516213
0,56,0.0,10.77209127741561
0,57,0.0,11.008933611449365
0,58,0.0,11.257473020815633
0,59,0.0,11.502155362598783
0,60,0.0,11.742471036194207
0,61,0.0,11.965237811072619
0,62,0.0,12.18539395588247
0,63,0.0,12.40108792666254
0,64,0.0,12.60419983935369
0,65,0.0,12.788543918409113
0,66,0.0,12.984203320451734
0,67,0.0,13.171645933498016
0,68,0.0,13.368466593404927
0,69,0.0,13.537388654078857
0,70,0.0,13.711759407499716
0,71,0.0,13.886260377272645
0,72,0.0,14.060724870721423
0,73,0.0,14.234258682981466
0,74,0.0,14.407752407755037
0,75,0.0,14.581160432639544
0,76,0.0,14.7532616170708
0,77,0.0,14.923227487517595
0,78,0.0,15.092746219997835
0,79,0.0,15.26252698406046
0,80,0.0,15.432330025614506
0,81,0.0,15.601727493724496
0,82,0.0,15.771279522573568
0,83,0.0,15.938977851771321
0,84,0.0,16.105779272690743
0,85,0.0,16.27287148490278
0,86,0.0,16.440432612758688
0,87,0.0,16.609609607671615
0,88,0.0,16.77964957730257
0,89,0.0,16.949278258561765
0,90,0.0,17.093226215497918
0,91,0.0,17.23605379828562
0,92,0.0,17.376989618287194
0,93,0.0,17.51647473909341
0,94,0.0,17.63078701446752
0,95,0.0,17.743939060926287
0,96,0.0,17.82903138101945
0,97,0.0,17.889382439905
0,98,0.0,17.949443292902043
0,99,0.0,18.008503556435798
0,100,0.0,18.0665597226645
0,101,0.0,18.12328386493263
0,102,0.0,18.151235433715467
0,103,0.0,18.14940742512581
0,104,0.0,18.146587088913424
0,105,0.0,18.113461056604113
0,106,0.0,18.137757460516468
0,107,0.0,18.16034608752714
0,108,0.0,18.211960696758076
0,109,0.0,18.262395190942353
0,110,0.0,18.312485701609827
0,111,0.0,18.36254279076635
0,112,0.0,18.38320255899496
0,113,0.0,18.406145509897556
0,114,0.0,18.42828635802358
0,115,0.0,18.414927821385227
0,116,0.0,18.40548674165409
0,117,0.0,18.398515076964763
0,118,0.0,18.42993460993542
0,119,0.0,18.46423813601222
1,0,0.0,1.300512223932676
1,1,0.0,1.4781554060448572
1,2,0.0,1.6848984531386684
1,3,0.0,1.8847497482362991
1,4,0.0,2.10878674022748
1,5,0.0,2.261110960457726
1,6,0.0,2.410070296877321
1,7,0.0,2.5235109697873432
1,8,0.0,2.635283565494333
1,9,0.0,2.745612859065717
1,10,0.0,2.8544798031286063
1,11,0.0,2.989169859817535
1,12,0.0,3.121506075524203
1,13,0.0,3.252460115927632
1,14,0.0,3.4052120949243934
1,15,0.0,3.557653886071127
1,16,0.0,3.70907369411749
1,17,0.0,3.834538452563643
1,18,0.0,3.9600484584008324
1,19,0.0,4.085355327357473
1,20,0.0,4.210557856463974
1,21,0.0,4.314477040231273
1,22,0.0,4.443296810425947
1,23,0.0,4.566535909005636
1,24,0.0,4.672054222665349
1,25,0.0,4.797431567118855
1,26,0.0,4.944364894105771
1,27,0.0,5.071141629976238
1,28,0.0,5.198975350502115
1,29,0.0,5.335669742343946
1,30,0.0,5.464048862277302
1,31,0.0,5.586594367673744
1,32,0.0,5.763933560823758
1,33,0.0,5.915552647916238
1,34,0.0,6.069294014413787
1,35,0.0,6.22503553445433
1,36,0.0,6.365686763901958
1,37,0.0,6.524990434539493
1,38,0.0,6.702482169413057
1,39,0.0,6.8839812519539665
1,40,0.0,7.083516784027217
1,41,0.0,7.28197798682683
1,42,0.0,7.468615259653763
1,43,0.0,7.657523597058727
1,44,0.0,7.847801370466328
1,45,0.0,8.068372014937188
1,46,0.0,8.24421388278984
1,47,0.0,8.41977503737086
1,48,0.0,8.609366045370463
1,49,0.0,8.815126187569765
1,50,0.0,9.020379297609923
1,51,0.0,9.292279902215911
1,52,0.0,9.56295577780201
